key,gloss,word_class,root,form_label,surface_form
ae,head,noun,?-?-?,child.singular.first,?a?u?uth
ae,head,noun,?-?-?,child.singular.second,?a?u?uj
ae,head,noun,?-?-?,child.singular.third,?a?u?ush
ae,head,noun,?-?-?,child.singular.fourth,?a?u?u
ae,head,noun,?-?-?,child.plural.first,?a?u?u?uth
ae,head,noun,?-?-?,child.plural.second,?a?u?u?uj
ae,head,noun,?-?-?,child.plural.third,?a?u?u?ush
ae,head,noun,?-?-?,child.plural.fourth,?a?u?u?u
ae,head,noun,?-?-?,child.collective.first,?æ?i?ith
ae,head,noun,?-?-?,child.collective.second,?æ?i?ij
ae,head,noun,?-?-?,child.collective.third,?æ?i?ish
ae,head,noun,?-?-?,child.collective.fourth,?æ?i?i
ae,head,noun,?-?-?,child.zero.first,?a?uf?ufth
ae,head,noun,?-?-?,child.zero.second,?a?uf?ufj
ae,head,noun,?-?-?,child.zero.third,?a?uf?ufsh
ae,head,noun,?-?-?,child.zero.fourth,?a?uf?uf
ae,head,noun,?-?-?,female.singular.first,?a?o?oth
ae,head,noun,?-?-?,female.singular.second,?a?o?oj
ae,head,noun,?-?-?,female.singular.third,?a?o?osh
ae,head,noun,?-?-?,female.singular.fourth,?a?o?o
ae,head,noun,?-?-?,female.plural.first,?a?o?o?oth
ae,head,noun,?-?-?,female.plural.second,?a?o?o?oj
ae,head,noun,?-?-?,female.plural.third,?a?o?o?osh
ae,head,noun,?-?-?,female.plural.fourth,?a?o?o?o
ae,head,noun,?-?-?,female.collective.first,?æ?e?eth
ae,head,noun,?-?-?,female.collective.second,?æ?e?ej
ae,head,noun,?-?-?,female.collective.third,?æ?e?esh
ae,head,noun,?-?-?,female.collective.fourth,?æ?e?e
ae,head,noun,?-?-?,female.zero.first,?a?of?ofth
ae,head,noun,?-?-?,female.zero.second,?a?of?ofj
ae,head,noun,?-?-?,female.zero.third,?a?of?ofsh
ae,head,noun,?-?-?,female.zero.fourth,?a?of?of
ae,head,noun,?-?-?,male.singular.first,?a?a?ath
ae,head,noun,?-?-?,male.singular.second,?a?a?aj
ae,head,noun,?-?-?,male.singular.third,?a?a?ash
ae,head,noun,?-?-?,male.singular.fourth,?a?a?a
ae,head,noun,?-?-?,male.plural.first,?a?a?a?ath
ae,head,noun,?-?-?,male.plural.second,?a?a?a?aj
ae,head,noun,?-?-?,male.plural.third,?a?a?a?ash
ae,head,noun,?-?-?,male.plural.fourth,?a?a?a?a
ae,head,noun,?-?-?,male.collective.first,?æ?æ?æth
ae,head,noun,?-?-?,male.collective.second,?æ?æ?æj
ae,head,noun,?-?-?,male.collective.third,?æ?æ?æsh
ae,head,noun,?-?-?,male.collective.fourth,?æ?æ?æ
ae,head,noun,?-?-?,male.zero.first,?a?af?afth
ae,head,noun,?-?-?,male.zero.second,?a?af?afj
ae,head,noun,?-?-?,male.zero.third,?a?af?afsh
ae,head,noun,?-?-?,male.zero.fourth,?a?af?af
ae,head,noun,?-?-?,inanimate.singular.first,?a?ïf?ïfth
ae,head,noun,?-?-?,inanimate.singular.second,?a?ïf?ïfj
ae,head,noun,?-?-?,inanimate.singular.third,?a?ïf?ïfsh
ae,head,noun,?-?-?,inanimate.singular.fourth,?a?ïf?ïf
ae,head,noun,?-?-?,inanimate.plural.first,?a?ïf?ïf?ïfth
ae,head,noun,?-?-?,inanimate.plural.second,?a?ïf?ïf?ïfj
ae,head,noun,?-?-?,inanimate.plural.third,?a?ïf?ïf?ïfsh
ae,head,noun,?-?-?,inanimate.plural.fourth,?a?ïf?ïf?ïf
ae,head,noun,?-?-?,inanimate.collective.first,?æ?ïf?ïfth
ae,head,noun,?-?-?,inanimate.collective.second,?æ?ïf?ïfj
ae,head,noun,?-?-?,inanimate.collective.third,?æ?ïf?ïfsh
ae,head,noun,?-?-?,inanimate.collective.fourth,?æ?ïf?ïf
ae,head,noun,?-?-?,inanimate.zero.first,?a?ïff?ïffth
ae,head,noun,?-?-?,inanimate.zero.second,?a?ïff?ïffj
ae,head,noun,?-?-?,inanimate.zero.third,?a?ïff?ïffsh
ae,head,noun,?-?-?,inanimate.zero.fourth,?a?ïff?ïff
euf,eye,noun,?-?-f,child.singular.first,?a?ufuth
euf,eye,noun,?-?-f,child.singular.second,?a?ufuj
euf,eye,noun,?-?-f,child.singular.third,?a?ufush
euf,eye,noun,?-?-f,child.singular.fourth,?a?ufu
euf,eye,noun,?-?-f,child.plural.first,?a?u?ufuth
euf,eye,noun,?-?-f,child.plural.second,?a?u?ufuj
euf,eye,noun,?-?-f,child.plural.third,?a?u?ufush
euf,eye,noun,?-?-f,child.plural.fourth,?a?u?ufu
euf,eye,noun,?-?-f,child.collective.first,?æ?ifith
euf,eye,noun,?-?-f,child.collective.second,?æ?ifij
euf,eye,noun,?-?-f,child.collective.third,?æ?ifish
euf,eye,noun,?-?-f,child.collective.fourth,?æ?ifi
euf,eye,noun,?-?-f,child.zero.first,?a?uffufth
euf,eye,noun,?-?-f,child.zero.second,?a?uffufj
euf,eye,noun,?-?-f,child.zero.third,?a?uffufsh
euf,eye,noun,?-?-f,child.zero.fourth,?a?uffuf
euf,eye,noun,?-?-f,female.singular.first,?a?ofoth
euf,eye,noun,?-?-f,female.singular.second,?a?ofoj
euf,eye,noun,?-?-f,female.singular.third,?a?ofosh
euf,eye,noun,?-?-f,female.singular.fourth,?a?ofo
euf,eye,noun,?-?-f,female.plural.first,?a?o?ofoth
euf,eye,noun,?-?-f,female.plural.second,?a?o?ofoj
euf,eye,noun,?-?-f,female.plural.third,?a?o?ofosh
euf,eye,noun,?-?-f,female.plural.fourth,?a?o?ofo
euf,eye,noun,?-?-f,female.collective.first,?æ?efeth
euf,eye,noun,?-?-f,female.collective.second,?æ?efej
euf,eye,noun,?-?-f,female.collective.third,?æ?efesh
euf,eye,noun,?-?-f,female.collective.fourth,?æ?efe
euf,eye,noun,?-?-f,female.zero.first,?a?offofth
euf,eye,noun,?-?-f,female.zero.second,?a?offofj
euf,eye,noun,?-?-f,female.zero.third,?a?offofsh
euf,eye,noun,?-?-f,female.zero.fourth,?a?offof
euf,eye,noun,?-?-f,male.singular.first,?a?afath
euf,eye,noun,?-?-f,male.singular.second,?a?afaj
euf,eye,noun,?-?-f,male.singular.third,?a?afash
euf,eye,noun,?-?-f,male.singular.fourth,?a?afa
euf,eye,noun,?-?-f,male.plural.first,?a?a?afath
euf,eye,noun,?-?-f,male.plural.second,?a?a?afaj
euf,eye,noun,?-?-f,male.plural.third,?a?a?afash
euf,eye,noun,?-?-f,male.plural.fourth,?a?a?afa
euf,eye,noun,?-?-f,male.collective.first,?æ?æfæth
euf,eye,noun,?-?-f,male.collective.second,?æ?æfæj
euf,eye,noun,?-?-f,male.collective.third,?æ?æfæsh
euf,eye,noun,?-?-f,male.collective.fourth,?æ?æfæ
euf,eye,noun,?-?-f,male.zero.first,?a?affafth
euf,eye,noun,?-?-f,male.zero.second,?a?affafj
euf,eye,noun,?-?-f,male.zero.third,?a?affafsh
euf,eye,noun,?-?-f,male.zero.fourth,?a?affaf
euf,eye,noun,?-?-f,inanimate.singular.first,?a?ïffïfth
euf,eye,noun,?-?-f,inanimate.singular.second,?a?ïffïfj
euf,eye,noun,?-?-f,inanimate.singular.third,?a?ïffïfsh
euf,eye,noun,?-?-f,inanimate.singular.fourth,?a?ïffïf
euf,eye,noun,?-?-f,inanimate.plural.first,?a?ïf?ïffïfth
euf,eye,noun,?-?-f,inanimate.plural.second,?a?ïf?ïffïfj
euf,eye,noun,?-?-f,inanimate.plural.third,?a?ïf?ïffïfsh
euf,eye,noun,?-?-f,inanimate.plural.fourth,?a?ïf?ïffïf
euf,eye,noun,?-?-f,inanimate.collective.first,?æ?ïffïfth
euf,eye,noun,?-?-f,inanimate.collective.second,?æ?ïffïfj
euf,eye,noun,?-?-f,inanimate.collective.third,?æ?ïffïfsh
euf,eye,noun,?-?-f,inanimate.collective.fourth,?æ?ïffïf
euf,eye,noun,?-?-f,inanimate.zero.first,?a?ïfffïffth
euf,eye,noun,?-?-f,inanimate.zero.second,?a?ïfffïffj
euf,eye,noun,?-?-f,inanimate.zero.third,?a?ïfffïffsh
euf,eye,noun,?-?-f,inanimate.zero.fourth,?a?ïfffïff
on,mouth,noun,?-?-n,child.singular.first,?a?unuth
on,mouth,noun,?-?-n,child.singular.second,?a?unuj
on,mouth,noun,?-?-n,child.singular.third,?a?unush
on,mouth,noun,?-?-n,child.singular.fourth,?a?unu
on,mouth,noun,?-?-n,child.plural.first,?a?u?unuth
on,mouth,noun,?-?-n,child.plural.second,?a?u?unuj
on,mouth,noun,?-?-n,child.plural.third,?a?u?unush
on,mouth,noun,?-?-n,child.plural.fourth,?a?u?unu
on,mouth,noun,?-?-n,child.collective.first,?æ?inith
on,mouth,noun,?-?-n,child.collective.second,?æ?inij
on,mouth,noun,?-?-n,child.collective.third,?æ?inish
on,mouth,noun,?-?-n,child.collective.fourth,?æ?ini
on,mouth,noun,?-?-n,child.zero.first,?a?ufnufth
on,mouth,noun,?-?-n,child.zero.second,?a?ufnufj
on,mouth,noun,?-?-n,child.zero.third,?a?ufnufsh
on,mouth,noun,?-?-n,child.zero.fourth,?a?ufnuf
on,mouth,noun,?-?-n,female.singular.first,?a?onoth
on,mouth,noun,?-?-n,female.singular.second,?a?onoj
on,mouth,noun,?-?-n,female.singular.third,?a?onosh
on,mouth,noun,?-?-n,female.singular.fourth,?a?ono
